n;t(n);T(n);q(n)
100;6.62331;10;1.0871
200;25.5357;40;1.04781
300;54.5793;90;0.995357
400;108.955;160;1.11768
500;165.639;250;1.08747
600;227.879;360;1.03895
700;292.352;490;0.979273
800;380.235;640;0.975136
900;482.773;810;0.978254
1000;601.259;1000;0.986859
1100;728.497;1210;0.988179
1200;867.113;1440;0.98834
1300;1027.38;1690;0.997786
1400;1175.33;1960;0.984233
1500;1367.55;2250;0.997593
1600;1559.72;2560;1
1700;1762.89;2890;1.0012
1800;1992.75;3240;1.00949
1900;2230.33;3610;1.01404
2000;2494.91;4000;1.02374
2100;2746.91;4410;1.02235
2200;3027.5;4840;1.02667
2300;3340.36;5290;1.03641
2400;3655.79;5760;1.04172
2500;3931.19;6250;1.03238
2600;4280.71;6760;1.03935
2700;4598.5;7290;1.03534
2800;4954.5;7840;1.03723
2900;5524.16;8410;1.07811
3000;5740.46;9000;1.04688
