n;t(n);T(n);q(n)
100;6.4002;10;0.737662
200;27.69;40;0.797858
300;64.957;90;0.831853
400;113.698;160;0.81902
500;182.009;250;0.839104
600;275.754;360;0.882843
700;357.951;490;0.841958
800;502.603;640;0.905125
900;652.619;810;0.92862
1000;770.368;1000;0.887895
1100;1010.13;1210;0.962177
1200;1226.23;1440;0.98146
1300;1410.21;1690;0.961746
1400;1656.1;1960;0.973853
1500;1915.67;2250;0.981301
1600;2221.14;2560;1
1700;2597.21;2890;1.03579
1800;3054.41;3240;1.08654
1900;3359.5;3610;1.07258
2000;3399.24;4000;0.979457
2100;4200.19;4410;1.09772
2200;4704.37;4840;1.12026
2300;4797.48;5290;1.04525
2400;5122.08;5760;1.02491
2500;5923.3;6250;1.09231
2600;6729.08;6760;1.14729
2700;6815.24;7290;1.0775
2800;7127.88;7840;1.04787
2900;7829.05;8410;1.07294
3000;8472.85;9000;1.08505
