n;t(n);T(n);q(n)
100;36.5092;0.1;0.993753
200;78.9138;0.2;1.07399
300;114.212;0.3;1.03626
400;148.892;0.4;1.01318
500;187.314;0.5;1.01971
600;210.613;0.6;0.955455
700;268.042;0.7;1.04227
800;292.394;0.8;0.994843
900;326.68;0.9;0.987999
1000;368.193;1;1.00219
1100;406.36;1.1;1.00553
1200;440.13;1.2;0.998332
1300;476.712;1.3;0.998134
1400;515.783;1.4;1.0028
1500;547.394;1.5;0.993309
1600;587.82;1.6;1
1700;614.737;1.7;0.984275
1800;687.468;1.8;1.03958
1900;676.877;1.9;0.969688
2000;709.729;2;0.965913
2100;741.222;2.1;0.960737
2200;776.745;2.2;0.961018
2300;821.439;2.3;0.972127
2400;854.784;2.4;0.96944
2500;883.905;2.5;0.962369
2600;918.962;2.6;0.962055
2700;956.712;2.7;0.96448
2800;1051.44;2.8;1.02212
2900;1043.34;2.9;0.979274
3000;1069.94;3;0.970762
