n;t(n);T(n);q(n)
100;38.4866;0.1;0.445214
200;77.1325;0.2;0.446136
300;124.604;0.3;0.480476
400;188.341;0.4;0.544684
500;216.639;0.5;0.501219
600;274.924;0.6;0.530056
700;360.905;0.7;0.596424
800;411.132;0.8;0.5945
900;473.297;0.9;0.608347
1000;579.83;1;0.67075
1100;647.819;1.1;0.681273
1200;733.186;1.2;0.706795
1300;949.492;1.3;0.844906
1400;1093.2;1.4;0.903302
1500;1221.29;1.5;0.941861
1600;1383.12;1.6;1
1700;1366.65;1.7;0.929969
1800;1572.5;1.8;1.0106
1900;1775.64;1.9;1.08109
2000;1841.53;2;1.06514
2100;2070.32;2.1;1.14045
2200;2233.6;2.2;1.17447
2300;2442.55;2.3;1.2285
2400;2710.14;2.4;1.30629
2500;3024.98;2.5;1.39972
2600;3420.6;2.6;1.52191
2700;3699.48;2.7;1.58503
2800;3998.18;2.8;1.65183
2900;4223.73;2.9;1.68484
3000;4578.83;3;1.7656
