100 24 10
1.5867 7.37987 3.09756 7.62469 
19.9903 4.6698 20.8061 5.48203 
11.3568 0.733517 12.2474 2.0915 
9.44161 6.9855 8.1773 7.89747 
5.49474 3.08164 6.58641 4.59405 
15.6769 5.57784 17.1894 6.83918 
15.8861 7.4588 16.0567 8.23007 
2.07836 8.16286 2.18642 9.10193 
19.3816 3.83215 18.2673 4.38477 
17.6127 0.294128 16.5092 1.46605 
10.1343 4.66629 9.66766 6.00347 
3.488 4.27548 3.50689 5.2472 
17.6225 4.86115 16.4395 4.9656 
19.1693 0.288599 19.1111 1.33411 
18.2892 7.59254 18.5753 8.45208 
14.5612 5.66098 15.2445 5.77567 
1.02655 5.61985 2.46207 6.57503 
15.0562 2.71491 14.7822 4.00579 
15.4329 8.05603 15.0602 9.18519 
14.0523 4.33629 13.3428 5.81258 
18.7229 2.60619 20.1846 3.70665 
16.5679 0.956995 16.064 1.13093 
15.4178 8.01746 16.5721 9.01304 
2.56934 2.90477 3.3486 3.92381 
13.8548 0.291201 13.5053 0.917796 
20.6927 3.58769 20.2798 5.02796 
18.7128 6.82303 18.2802 7.60508 
6.39655 6.87066 7.13852 6.95492 
18.3635 2.44587 19.3099 3.65916 
12.6331 4.8118 12.8683 5.42394 
5.0411 7.94471 3.54412 7.97873 
12.3128 6.53784 12.2345 7.21662 
19.5103 2.92374 18.7591 3.73953 
14.0202 4.30134 13.6339 6.09781 
8.23727 4.86273 8.55491 5.28241 
21.2378 8.41421 20.6898 9.75561 
3.97014 2.60558 4.69788 3.20432 
5.23665 0.9945 6.29203 2.60953 
7.65507 3.69894 8.17674 3.78646 
12.8651 7.5225 12.3218 8.75456 
20.7064 3.4232 19.6795 3.78519 
6.92693 6.52717 6.45632 7.2198 
7.93384 2.09021 6.26425 2.51057 
19.2273 0.120002 20.4835 0.158268 
17.841 0.620066 16.4863 1.25069 
16.9688 2.93087 15.6624 3.73309 
16.0216 0.757787 15.2026 1.32597 
9.99538 3.17547 9.37411 3.95402 
14.4687 4.27461 12.6751 4.27828 
13.3397 0.965557 12.4047 2.19823 
20.137 5.42991 19.7298 5.8603 
15.6049 8.53578 15.8777 9.9744 
15.4812 8.93445 15.0542 9.27449 
15.2887 2.64117 15.9502 3.13178 
9.90436 7.09955 9.71911 7.95126 
11.9266 7.37881 10.8169 8.03898 
15.6418 4.32603 16.1784 5.04473 
6.75593 6.07688 5.62154 7.07879 
10.7715 2.85768 8.93254 3.1006 
10.4952 4.15383 11.9143 4.42206 
17.6859 7.96275 16.8524 9.13963 
11.1105 6.43232 10.5465 7.00741 
9.6094 7.30521 9.84 7.78178 
15.27 3.23781 14.4016 4.85286 
21.4442 3.32227 21.8123 4.39394 
4.21736 8.67391 4.07599 9.6104 
14.3282 7.88949 14.795 9.26233 
14.1384 7.02938 14.6034 7.31875 
10.2069 7.94414 10.7885 9.18161 
13.8642 9.11337 13.069 9.56992 
11.3405 3.77416 11.8863 4.2665 
8.23137 1.42754 7.14771 1.85136 
22.1083 8.48302 21.1441 9.46018 
13.407 3.94739 12.4606 4.13146 
2.4002 7.53326 2.71386 8.65338 
19.3003 8.33797 20.4086 9.7968 
21.3104 0.950687 21.1188 1.53371 
16.4956 1.85768 17.1134 2.02726 
7.17206 5.53446 7.70319 6.59007 
15.3198 0.457376 16.0154 0.549623 
21.0292 7.10401 20.7163 7.65946 
7.52463 4.69263 6.67895 6.1912 
16.3678 9.57907 15.7299 9.77013 
5.63626 8.64738 6.58605 8.80599 
22.6866 3.84774 21.1686 3.97805 
14.2084 1.73435 14.7531 2.2116 
10.1833 4.30488 10.8158 5.88653 
15.2472 1.05253 14.2865 1.42975 
12.3708 8.67655 11.0905 9.00819 
7.14777 5.13794 7.31944 6.48029 
3.24905 0.285184 3.47388 1.20209 
9.5578 1.8672 9.841 3.22352 
4.5449 4.3941 4.52112 4.94843 
6.51123 0.607995 5.97022 1.06021 
12.6156 1.91805 12.8978 2.4827 
10.411 8.40693 11.031 9.74468 
5.45168 2.94869 4.03989 3.01542 
4.5454 1.28173 4.39668 2.1181 
9.05946 3.72196 7.39631 4.26357 
19.3222 5.98509 20.2856 6.74928 
